Journals,Sentiment
"My family was the most salient part of my day, since most days the care of my 2 children occupies the majority of my time. They are 2 years old and 7 months and I love them, but they also require so much attention that my anxiety is higher than ever. I am often overwhelmed by the care the require, but at the same, I am so excited to see them hit developmental and social milestones.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.4102470930232558
}"
Yoga keeps me focused. I am able to take some time for me and breath and work my body. This is important because it sets up my mood for the whole day.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8450520833333334
}"
"Yesterday, my family and I played a bunch of board games. My husband won most of them which is not surprising in the least. We played all sorts of games including Life, Clue, Mouse Trap and more. It was relaxing and such a happy, fun filled moment.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6171875
}"
"Yesterday, I visited my parents and had dinner with them.  I hadn't seen them in a few weeks, so it was wonderful to see them and catch up on things.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.5861486486486487
}"
"Yesterday, I really felt the importance of my health. I went on a bit longer hike than usual and was very happy that I could do so. It really made me appreciate my health. With all the news of people dying and the tragedy of the Utah family murder in Mexico, it really made me aware of the importance of my own health and well being.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.4610445205479452
}"
"Yesterday, I had to go to work. It was my first day back to work after my weekend, so I was pretty frustrated and sad. It was a pretty boring day overall.","{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.5879934210526315
}"
"Yesterday, I got a lot of things ready for listing, and fielded many questions from potential buyers. I also did some surveys on Mturk. Woke up this morning to find that there are quite a few items that now have bids and will sell today and tomorrow, and also had 2 bonuses from surveys.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6190257352941176
}"
"Yesterday, I finished two of the requirements for the semester. I felt relieved because the requirements were hindering me from writing my MA thesis. I also felt proud because I was able to do the tasks with flying colors.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.748641304347826
}"
yesterday work was like the good old days. There was so much to do and I barely had time to think. I like being busy and overwhlemed and work has been terribly boring and slow lately. Yesterday was a good day.,"{
    ""sentiment"": ""negative"",
    ""sentiment_score"": -0.3799019607843137
}"
Yesterday was the sixth of the month so I read the sixth chapter of Proverbs.  The wisdom gift that God gave to Solomon is passed on to me through this writing.  I felt a great connection over the centuries to God's intervention in this man's life.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.5708705357142857
}"
"Yesterday was my husband's birthday, and since we'd done the whole revelry thing the day before we spent it peacefully in bed watching pointless TV shows.","{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.6272321428571429
}"
yesterday was my daughters first birthday and it was such a happy event! we opened her presents and gave her a giant cupcake to eat all to herself. Me and my family had a blast celebrating this milestone in my daughters life.,"{
    ""sentiment"": ""positive"",
    ""sentiment_score"": 0.8003826530612245
}"
